RENDERING NPI,PROVIDER LEGAL NAME,CALENDAR YEAR,DELIVERY SYSTEM,PROVIDER TYPE,AGE GROUP,ADV USER CNT,ADV USER ANNOTATION CODE,ADV SVC CNT,ADV  SVC ANNOTATION CODE,PREV USER CNT,PREV USER ANNOTATION CODE,PREV SVC CNT,PREV SVC ANNOTATION CODE,TXMT USER CNT,TXMT USER ANNOTATION CODE,TXMT SVC CNT,TXMT SVC ANNOTATION CODE,EXAM USER CNT,EXAM USER ANNOTATION CODE,EXAM SVC CNT,EXAM SVC ANNOTATION CODE
1003100959,MATCHETT JOHN,2018,PHP,RENDERING,AGE 21+,57,,202,,,1,,1,37,,81,,28,,30,
1003102336,PHAM PETER,2018,FFS,RENDERING,AGE 0-20,585,,2524,,394,,955,,106,,289,,421,,421,
1003102336,PHAM PETER,2018,FFS,RENDERING,AGE 21+,511,,1399,,76,,120,,180,,443,,305,,305,
1003102336,PHAM PETER,2018,PHP,RENDERING,AGE 0-20,53,,324,,34,,95,,11,,26,,43,,53,
1003102336,PHAM PETER,2018,PHP,RENDERING,AGE 21+,70,,276,,11,,36,,23,,65,,38,,50,
1003104399,KAUR SUMEET,2018,FFS,RENDERING,AGE 0-20,,1,,2,,1,,1,0,,0,,,1,,1
1003104399,KAUR SUMEET,2018,FFS,RENDERING,AGE 21+,,1,,2,,1,0,,,1,,1,,1,,1
1003104399,KAUR SUMEET,2018,GMC,RENDERING,AGE 0-20,300,,1722,,216,,703,,145,,238,,183,,222,
1003104399,KAUR SUMEET,2018,GMC,RENDERING,AGE 21+,623,,2463,,177,,310,,452,,996,,262,,281,
1003106949,PEDRAM JOEY,2018,FFS,RENDERING,AGE 0-20,,1,,1,,1,,1,0,,0,,,1,,1
1003126343,"RAMIREZ, JOSE RUBEN DDS",2018,FFS,RENDERING,AGE 0-20,275,,2198,,262,,709,,102,,268,,261,,334,
1003126343,"RAMIREZ, JOSE RUBEN DDS",2018,FFS,RENDERING,AGE 21+,150,,691,,30,,59,,78,,235,,114,,114,
1003159864,OHRI PRIYAL S,2018,FFS,RENDERING,AGE 0-20,655,,3317,,441,,906,,225,,537,,442,,442,
1003161969,"JOHNSON, MALIEKA T, DDS",2018,FFS,RENDERING,AGE 0-20,,1,,1,,1,,1,0,,0,,,1,,1
1003161969,"JOHNSON, MALIEKA T, DDS",2018,FFS,RENDERING,AGE 21+,,1,,2,,1,,1,,1,,1,,1,,1
1003164799,YALUNG JELSON J,2018,FFS,RENDERING,AGE 0-20,25,,31,,,1,0,,,1,,1,0,,0,
1003164799,YALUNG JELSON J,2018,FFS,RENDERING,AGE 21+,,1,,1,,1,0,,0,,0,,0,,0,
1003168477,HUERTA JESUS,2018,FFS,RENDERING,AGE 0-20,,1,,1,,1,0,,,1,,1,0,,0,
1003168477,HUERTA JESUS,2018,PHP,RENDERING,AGE 21+,,1,,2,,1,0,,,1,,1,0,,0,
1003177783,BROWN EVAN W,2018,FFS,RENDERING,AGE 0-20,,1,,1,,1,0,,,1,,1,0,,0,
1003211731,"JAVAHERIAN, MEHRAN, DENTAL C",2018,PHP,RENDERING,AGE 21+,,1,,1,,1,0,,,1,,1,,1,,1
1003212333,KHOSHSAR RAMIN,2018,FFS,RENDERING,AGE 0-20,75,,323,,31,,73,,29,,99,,62,,64,
1003212333,KHOSHSAR RAMIN,2018,FFS,RENDERING,AGE 21+,167,,733,,40,,64,,83,,305,,134,,134,
1003224023,MORETT MARTHA E,2018,FFS,RENDERING,AGE 0-20,15,,89,,13,,37,,,1,,1,12,,13,
1003224023,MORETT MARTHA E,2018,FFS,RENDERING,AGE 21+,,1,,2,,1,,1,,1,,1,,1,,1
1003253576,METRIKINA MARGARITA,2018,FFS,RENDERING,AGE 0-20,26,,233,,20,,98,,13,,36,,19,,22,
1003253576,METRIKINA MARGARITA,2018,FFS,RENDERING,AGE 21+,301,,2801,,181,,359,,227,,1014,,127,,127,
1003257536,PLEITEZ ERIK I,2018,FFS,RENDERING,AGE 0-20,52,,393,,44,,93,,20,,65,,43,,50,
1003257536,PLEITEZ ERIK I,2018,FFS,RENDERING,AGE 21+,71,,372,,18,,21,,38,,127,,55,,55,
1003258351,CHU LARINA H,2018,FFS,RENDERING,AGE 0-20,81,,192,,,1,0,,81,,192,,0,,0,
1003258351,CHU LARINA H,2018,FFS,RENDERING,AGE 21+,,1,,1,,1,0,,,1,,1,0,,0,
1003292608,YOUNGBERG JEFFREY C,2018,FFS,RENDERING,AGE 0-20,15,,89,,11,,19,,,1,,2,,1,,1
1003292608,YOUNGBERG JEFFREY C,2018,FFS,RENDERING,AGE 21+,12,,37,,,1,0,,,1,,2,,1,,1
1003392499,KAUR NAVNEET,2018,FFS,RENDERING,AGE 0-20,151,,1028,,111,,222,,44,,81,,110,,110,
1003803651,DO VINCENT,2018,FFS,RENDERING,AGE 0-20,146,,1869,,145,,620,,84,,245,,131,,181,
1003803651,DO VINCENT,2018,FFS,RENDERING,AGE 21+,158,,1558,,136,,270,,110,,445,,126,,126,
1003807199,"BRAZEAL, GEORGE W, DDS",2018,FFS,RENDERING,AGE 0-20,,1,,1,,1,,1,0,,0,,,1,,1
1003807199,"BRAZEAL, GEORGE W, DDS",2018,FFS,RENDERING,AGE 21+,13,,63,,13,,13,,,1,,2,13,,13,
1003817750,"PHILLIPS, DAVID M, DDS",2018,FFS,RENDERING,AGE 0-20,16,,43,,15,,19,,,1,,1,14,,14,
1003820895,LEW EDWARD W,2018,FFS,RENDERING,AGE 21+,,1,,1,,1,0,,,1,,1,,1,,1
1003820895,LEW EDWARD W,2018,PHP,RENDERING,AGE 0-20,29,,87,,20,,26,,14,,24,,13,,13,
1003820895,LEW EDWARD W,2018,PHP,RENDERING,AGE 21+,104,,309,,31,,32,,71,,165,,42,,43,
1003827494,"NGUYEN, DINH HIEP, DMD",2018,FFS,RENDERING,AGE 0-20,98,,580,,93,,119,,24,,38,,93,,118,
1003827494,"NGUYEN, DINH HIEP, DMD",2018,FFS,RENDERING,AGE 21+,146,,970,,120,,120,,64,,119,,63,,63,
1003827551,MEDINA DIANA M,2018,GMC,RENDERING,AGE 21+,,1,,1,,1,0,,,1,,1,0,,0,
1003834003,KWON VIVIAN,2018,FFS,RENDERING,AGE 0-20,65,,368,,54,,145,,13,,26,,59,,62,
1003834003,KWON VIVIAN,2018,FFS,RENDERING,AGE 21+,132,,578,,53,,53,,51,,174,,114,,114,
1003841438,"SKUBEN, JANE E, DDS",2018,FFS,RENDERING,AGE 0-20,76,,536,,66,,215,,26,,80,,74,,97,
1003841438,"SKUBEN, JANE E, DDS",2018,FFS,RENDERING,AGE 21+,47,,317,,34,,67,,33,,153,,38,,38,
1003847955,"LE, KHA D, DENTAL CORPORATIO",2018,FFS,RENDERING,AGE 0-20,506,,4731,,466,,1521,,266,,988,,437,,617,
1003847955,"LE, KHA D, DENTAL CORPORATIO",2018,FFS,RENDERING,AGE 21+,390,,2470,,197,,268,,234,,966,,256,,256,
1003863556,"VU, KEVIN DMD",2018,FFS,RENDERING,AGE 0-20,57,,277,,49,,108,,12,,33,,54,,57,
1003863556,"VU, KEVIN DMD",2018,FFS,RENDERING,AGE 21+,202,,766,,81,,158,,85,,186,,152,,153,
1003868068,"JOSHI, PRAFULLA A, DDS",2018,FFS,RENDERING,AGE 0-20,,1,,2,,1,,2,,1,,2,,1,,1
1003868068,"JOSHI, PRAFULLA A, DDS",2018,FFS,RENDERING,AGE 21+,78,,818,,37,,74,,66,,420,,40,,80,
1003868068,"JOSHI, PRAFULLA DDS",2018,FFS,RENDERING,AGE 0-20,,1,,2,,1,,1,,1,,1,,1,,1
1003868068,"JOSHI, PRAFULLA DDS",2018,FFS,RENDERING,AGE 21+,78,,409,,37,,37,,66,,210,,40,,40,
1003900705,PHAM KEVIN T,2018,FFS,RENDERING,AGE 0-20,255,,2770,,235,,849,,120,,578,,237,,346,
1003900705,PHAM KEVIN T,2018,FFS,RENDERING,AGE 21+,268,,2059,,144,,274,,208,,1021,,176,,176,
1003905068,"NGUYEN, DUY DUC, DDS INC",2018,FFS,RENDERING,AGE 0-20,745,,2766,,321,,843,,448,,1055,,279,,279,
1003905068,"NGUYEN, DUY DUC, DDS INC",2018,FFS,RENDERING,AGE 21+,1222,,3723,,121,,164,,1092,,3130,,136,,136,
1003905068,"NGUYEN, DUY DUC, DDS INC",2018,PHP,RENDERING,AGE 0-20,38,,87,,,1,,2,33,,55,,,1,,1
1003905068,"NGUYEN, DUY DUC, DDS INC",2018,PHP,RENDERING,AGE 21+,25,,80,,,1,0,,22,,50,,,1,,1
1003905829,"LUKE K CHOI, DDS, MS &",2018,FFS,RENDERING,AGE 0-20,29,,132,,14,,44,,17,,32,,17,,17,
1003905829,"LUKE K CHOI, DDS, MS &",2018,FFS,RENDERING,AGE 21+,27,,105,,12,,24,,14,,22,,15,,15,
1003910142,GABBAYPOUR GABRIEL,2018,FFS,RENDERING,AGE 0-20,268,,996,,,1,0,,183,,737,,132,,132,
1003910142,GABBAYPOUR GABRIEL,2018,FFS,RENDERING,AGE 21+,341,,1153,,,1,0,,165,,621,,270,,270,
1003910142,GABBAYPOUR GABRIEL,2018,PHP,RENDERING,AGE 0-20,,1,,2,,1,0,,,1,,2,,1,,1
1003910142,GABBAYPOUR GABRIEL,2018,PHP,RENDERING,AGE 21+,42,,175,,,1,0,,22,,98,,36,,38,
1003915810,ANGELICI LISA M,2018,FFS,RENDERING,AGE 0-20,111,,171,,,1,0,,19,,58,,0,,0,
1003932948,LUONG DONALD,2018,FFS,RENDERING,AGE 0-20,328,,2113,,221,,679,,87,,251,,197,,208,
1003932948,LUONG DONALD,2018,FFS,RENDERING,AGE 21+,383,,1169,,57,,88,,140,,335,,235,,235,
1003932948,LUONG DONALD,2018,PHP,RENDERING,AGE 0-20,304,,1598,,211,,530,,113,,290,,248,,268,
1003932948,LUONG DONALD,2018,PHP,RENDERING,AGE 21+,257,,1309,,35,,65,,132,,682,,170,,198,
1003934761,CADALSO JR ROBERT T,2018,FFS,RENDERING,AGE 0-20,91,,268,,,1,0,,88,,257,,0,,0,
1003934761,CADALSO JR ROBERT T,2018,FFS,RENDERING,AGE 21+,218,,644,,,1,0,,206,,598,,,1,,1
1003942384,"VU, ANH",2018,FFS,RENDERING,AGE 0-20,147,,1367,,101,,320,,93,,632,,64,,82,
1003942384,"VU, ANH",2018,FFS,RENDERING,AGE 21+,17,,126,,14,,14,,,1,,2,14,,14,
1003942384,"VU, ANH",2018,PHP,RENDERING,AGE 0-20,,1,,1,,1,,1,0,,0,,0,,0,
1003942384,"VU, ANH",2018,PHP,RENDERING,AGE 21+,,1,,1,,1,,1,0,,0,,,1,,1
1003944638,NGO THANH C,2018,FFS,RENDERING,AGE 0-20,812,,6999,,735,,2950,,319,,673,,708,,795,
1003944638,NGO THANH C,2018,FFS,RENDERING,AGE 21+,1704,,10529,,987,,1958,,1105,,3902,,1045,,1045,
1003946443,IZRAYLEVICH NINA,2018,FFS,RENDERING,AGE 0-20,13,,59,,,1,,2,11,,17,,,1,,1
1003946443,IZRAYLEVICH NINA,2018,FFS,RENDERING,AGE 21+,247,,771,,70,,135,,195,,349,,55,,55,
1003946443,"IZRAYLEVICH, NINA, DDS",2018,FFS,RENDERING,AGE 0-20,13,,59,,,1,,2,11,,17,,,1,,1
1003946443,"IZRAYLEVICH, NINA, DDS",2018,FFS,RENDERING,AGE 21+,247,,771,,70,,135,,195,,349,,55,,55,
1003948241,NGUYEN JOHN H,2018,FFS,RENDERING,AGE 21+,,1,,1,,1,0,,,1,,1,0,,0,
1003948563,"MATTISON, CHARLES",2018,FFS,RENDERING,AGE 0-20,22,,80,,11,,17,,,1,,1,18,,19,
1003948563,"MATTISON, CHARLES",2018,FFS,RENDERING,AGE 21+,97,,299,,33,,33,,42,,84,,64,,64,
1003952391,LEE RICHARD,2018,FFS,RENDERING,AGE 0-20,246,,2048,,227,,1038,,75,,202,,231,,317,
1003952391,LEE RICHARD,2018,FFS,RENDERING,AGE 21+,289,,1365,,136,,136,,147,,458,,219,,219,
1003953126,ABRISHAMI & KHOSHROZEH DENT,2018,PHP,RENDERING,AGE 0-20,,1,,1,,1,0,,,1,,1,0,,0,
1003953282,"BINAFARD, BEHZAD DANIEL DDS",2018,FFS,RENDERING,AGE 0-20,302,,2521,,252,,714,,123,,381,,219,,256,
1003953282,"BINAFARD, BEHZAD DANIEL DDS",2018,FFS,RENDERING,AGE 21+,533,,3922,,301,,302,,314,,1206,,349,,351,
1003953282,"BINAFARD, BEHZAD DANIEL DDS",2018,PHP,RENDERING,AGE 0-20,13,,84,,13,,21,,,1,,1,12,,12,
1003953282,"BINAFARD, BEHZAD DANIEL DDS",2018,PHP,RENDERING,AGE 21+,18,,122,,,1,,1,,1,,1,11,,12,
1003953332,"NISHIZAKA, SCOTT MICHIO, DDS",2018,FFS,RENDERING,AGE 0-20,,1,,2,,1,,1,,1,,1,,1,,1
1003953332,"NISHIZAKA, SCOTT MICHIO, DDS",2018,FFS,RENDERING,AGE 21+,14,,41,,,1,,1,,1,,1,,1,,1
1003953860,"PANOFF, DANIEL O",2018,FFS,RENDERING,AGE 0-20,848,,6748,,737,,2267,,431,,1930,,690,,733,
1003953860,"PANOFF, DANIEL O",2018,FFS,RENDERING,AGE 21+,450,,2762,,216,,315,,313,,1316,,331,,331,
1003958489,DUONG VU Q,2018,FFS,RENDERING,AGE 0-20,262,,2830,,239,,602,,95,,204,,243,,304,
1003958489,DUONG VU Q,2018,FFS,RENDERING,AGE 21+,501,,4762,,264,,526,,259,,714,,398,,398,
1003960543,WOOD ALFRED J,2018,FFS,RENDERING,AGE 0-20,944,,6877,,882,,2905,,372,,1443,,858,,1100,
1003960543,WOOD ALFRED J,2018,FFS,RENDERING,AGE 21+,11,,16,,,1,0,,,1,,1,,1,,1
1003964107,"PATEL, ALPHESH K DDS",2018,FFS,RENDERING,AGE 0-20,345,,5091,,322,,1313,,107,,439,,325,,468,
1003964107,"PATEL, ALPHESH K DDS",2018,FFS,RENDERING,AGE 21+,342,,2801,,141,,271,,192,,957,,278,,278,
1003965112,SUMENKO IRINA,2018,FFS,RENDERING,AGE 0-20,13,,59,,12,,37,,,1,,1,,1,,1
1003965112,SUMENKO IRINA,2018,FFS,RENDERING,AGE 21+,99,,658,,63,,136,,71,,327,,61,,70,
1003965112,SUMENKO IRINA,2018,PHP,RENDERING,AGE 0-20,25,,97,,20,,48,,,1,,1,25,,25,
1003965112,SUMENKO IRINA,2018,PHP,RENDERING,AGE 21+,61,,358,,42,,88,,20,,98,,57,,62,
1003967548,TRAN CINDY M,2018,FFS,RENDERING,AGE 0-20,3257,,39449,,2955,,7652,,1019,,3373,,3057,,3904,
1003967548,TRAN CINDY M,2018,FFS,RENDERING,AGE 21+,607,,3090,,223,,232,,240,,639,,515,,515,
1003974494,EBRAHIMI SOHAIL M,2018,FFS,RENDERING,AGE 0-20,104,,1135,,94,,262,,44,,163,,97,,105,
1003974494,EBRAHIMI SOHAIL M,2018,FFS,RENDERING,AGE 21+,108,,750,,46,,87,,57,,255,,82,,82,
1003975566,TURNER KARLA M,2018,PHP,RENDERING,AGE 0-20,13,,69,,,1,,1,,1,,2,,1,,1
1003975566,TURNER KARLA M,2018,PHP,RENDERING,AGE 21+,37,,217,,,1,,1,32,,93,,19,,19,
1003982075,CHOY MARIA JESUSA T,2018,FFS,RENDERING,AGE 0-20,853,,4252,,652,,1986,,96,,266,,720,,738,
1003982075,CHOY MARIA JESUSA T,2018,FFS,RENDERING,AGE 21+,951,,2847,,186,,310,,291,,886,,620,,621,
1003982075,CHOY MARIA JESUSA T,2018,PHP,RENDERING,AGE 0-20,,1,,2,,1,,2,,1,,1,,1,,1
1003982075,CHOY MARIA JESUSA T,2018,PHP,RENDERING,AGE 21+,,1,,1,,1,0,,,1,,1,0,,0,
1003989294,TON DANIEL,2018,FFS,RENDERING,AGE 0-20,134,,860,,107,,206,,50,,132,,96,,111,
1003989294,TON DANIEL,2018,FFS,RENDERING,AGE 21+,201,,971,,99,,100,,118,,309,,153,,153,
1003989427,"GUARIN-FORTIN, MARICEL B, DD",2018,FFS,RENDERING,AGE 0-20,,1,,2,,1,,1,,1,,1,,1,,1
1003989427,"GUARIN-FORTIN, MARICEL B, DD",2018,FFS,RENDERING,AGE 21+,29,,89,,13,,13,,17,,25,,,1,,1
1003991910,"AHN, TERRY DDS",2018,FFS,RENDERING,AGE 0-20,169,,2097,,156,,301,,97,,340,,156,,180,
1003991910,"AHN, TERRY DDS",2018,FFS,RENDERING,AGE 21+,181,,1418,,125,,125,,118,,433,,138,,138,
1003991910,"AHN, TERRY DDS",2018,PHP,RENDERING,AGE 21+,,1,,1,,1,,1,0,,0,,,1,,1
1003992454,DO DAT-MINH,2018,FFS,RENDERING,AGE 0-20,58,,315,,48,,90,,27,,62,,46,,50,
1003992454,DO DAT-MINH,2018,FFS,RENDERING,AGE 21+,266,,1351,,155,,155,,176,,530,,169,,170,
1003996067,GAD MAGDY W,2018,FFS,RENDERING,AGE 0-20,,1,,2,,1,,1,,1,,1,,1,,1
1003996067,GAD MAGDY W,2018,FFS,RENDERING,AGE 21+,19,,60,,,1,,1,,1,,2,15,,15,
1003996067,GAD MAGDY W,2018,PHP,RENDERING,AGE 0-20,33,,104,,26,,39,,,1,,2,25,,27,
1003996067,GAD MAGDY W,2018,PHP,RENDERING,AGE 21+,76,,187,,18,,23,,,1,,2,42,,44,
1013011642,"MYAING, HLA, DDS",2018,FFS,RENDERING,AGE 0-20,72,,640,,66,,212,,30,,124,,69,,77,
1013011642,"MYAING, HLA, DDS",2018,FFS,RENDERING,AGE 21+,171,,1138,,109,,215,,93,,392,,151,,152,
1013035849,SHIRVANI MICHAEL,2018,FFS,RENDERING,AGE 0-20,,1,,1,,1,,1,0,,0,,,1,,1
1013035849,SHIRVANI MICHAEL,2018,FFS,RENDERING,AGE 21+,,1,,2,,1,,1,,1,,2,,1,,1
1013037688,NGUYEN JAUBIN D,2018,FFS,RENDERING,AGE 0-20,155,,1374,,139,,555,,65,,151,,142,,166,
1013037688,NGUYEN JAUBIN D,2018,FFS,RENDERING,AGE 21+,151,,1019,,109,,195,,112,,320,,118,,118,
1013039122,BRUMAND SASSON T,2018,FFS,RENDERING,AGE 0-20,,1,,1,,1,,1,,1,,1,0,,0,
1013041029,POPESCU DORINA,2018,FFS,RENDERING,AGE 0-20,2118,,17832,,1715,,3976,,774,,3431,,1651,,1724,
1013041029,POPESCU DORINA,2018,FFS,RENDERING,AGE 21+,,1,,1,,1,,1,,1,,1,,1,,1
1013041029,POPESCU DORINA,2018,PHP,RENDERING,AGE 0-20,,1,,1,,1,,1,0,,0,,,1,,1
1013042688,LOW EVERETT L,2018,FFS,RENDERING,AGE 0-20,40,,235,,35,,80,,19,,50,,28,,43,
1013042688,LOW EVERETT L,2018,FFS,RENDERING,AGE 21+,77,,328,,29,,29,,55,,161,,34,,34,
1013042894,HACKMAN FRANK H,2018,FFS,RENDERING,AGE 0-20,377,,2889,,363,,1250,,114,,224,,166,,173,
1013042894,HACKMAN FRANK H,2018,FFS,RENDERING,AGE 21+,662,,3875,,384,,388,,343,,1141,,411,,411,
1013047539,NGUYEN ROBERT D,2018,FFS,RENDERING,AGE 0-20,155,,1850,,141,,620,,53,,118,,147,,189,
1013047539,NGUYEN ROBERT D,2018,FFS,RENDERING,AGE 21+,370,,4551,,300,,598,,203,,705,,326,,326,
1013057371,ST JOHNS WELL CHILD,2018,PHP,RENDERING,AGE 21+,,1,,1,,1,0,,,1,,1,0,,0,
1013058346,RIVERA JOSE W,2018,FFS,RENDERING,AGE 0-20,1076,,4667,,911,,2526,,263,,736,,458,,475,
1013058346,RIVERA JOSE W,2018,FFS,RENDERING,AGE 21+,746,,2446,,324,,549,,461,,1203,,191,,192,
1013058346,RIVERA JOSE W,2018,GMC,RENDERING,AGE 0-20,,1,,1,,1,0,,,1,,1,0,,0,
